Category: All categories

Region,presidential debate: (8/8/12 - 11/6/12)
Utah,100
Vermont,91
Colorado,84
Oregon,79
Montana,78
Idaho,76
Wyoming,76
District of Columbia,75
Washington,71
Alaska,69
Virginia,68
Massachusetts,66
Connecticut,65
New York,65
Rhode Island,64
Kentucky,63
Maine,63
Pennsylvania,62
Arizona,62
New Mexico,62
California,61
Maryland,61
Minnesota,60
North Carolina,59
Ohio,58
New Hampshire,58
Delaware,58
Indiana,56
New Jersey,56
Illinois,55
Tennessee,55
Missouri,55
Wisconsin,55
Florida,55
Nevada,54
Kansas,54
South Dakota,54
Nebraska,53
Arkansas,53
North Dakota,53
Iowa,52
Hawaii,52
Georgia,51
Texas,49
South Carolina,49
Michigan,49
West Virginia,48
Alabama,48
Mississippi,47
Oklahoma,45
Louisiana,45
