Category: All categories

Region,barack obama: (8/8/12 - 11/6/12)
Iowa,100
Delaware,96
Ohio,93
New Jersey,92
Virginia,91
New Hampshire,89
Mississippi,88
Nevada,85
Wisconsin,84
North Carolina,83
Arkansas,83
Illinois,82
Vermont,82
Alabama,81
New York,80
Pennsylvania,80
Rhode Island,80
Indiana,80
Florida,79
Kansas,78
South Dakota,78
Maryland,78
District of Columbia,76
Connecticut,75
West Virginia,75
Maine,75
Massachusetts,74
Kentucky,73
Nebraska,73
Michigan,73
South Carolina,72
Georgia,72
Louisiana,70
North Dakota,70
Colorado,70
Missouri,68
New Mexico,68
Oklahoma,68
Idaho,67
California,67
Texas,64
Tennessee,63
Utah,61
Hawaii,61
Montana,59
Minnesota,59
Arizona,58
Washington,58
Wyoming,57
Oregon,55
Alaska,52
