Category: All categories

Region,how to vote: (8/10/16 - 11/8/16)
Idaho,100
Michigan,96
Utah,93
Texas,92
New Jersey,92
North Dakota,91
Georgia,90
Indiana,87
New York,87
North Carolina,86
Ohio,84
Delaware,84
Oklahoma,84
Iowa,83
Nebraska,82
Florida,82
Pennsylvania,81
South Dakota,80
Arkansas,80
Kentucky,80
Kansas,79
Virginia,79
Wyoming,78
Minnesota,78
Arizona,76
Montana,75
Nevada,75
California,75
Tennessee,74
Alabama,74
Louisiana,73
New Mexico,73
Maine,72
South Carolina,71
Hawaii,71
Missouri,70
Illinois,69
District of Columbia,68
Washington,68
Alaska,67
Massachusetts,67
Rhode Island,66
Connecticut,65
Mississippi,64
West Virginia,64
Wisconsin,63
Vermont,63
New Hampshire,59
Maryland,57
Colorado,56
Oregon,45
