Category: All categories

Region,united states presidential election: (8/10/16 - 11/8/16)
Wyoming,100
Maryland,94
Indiana,94
District of Columbia,93
Texas,93
Idaho,92
Alaska,92
Virginia,92
Maine,90
Georgia,89
Louisiana,89
Minnesota,88
Tennessee,88
Arkansas,86
Montana,86
Arizona,86
Washington,86
New Hampshire,84
Oklahoma,82
Ohio,81
New Jersey,81
New York,81
North Carolina,80
Wisconsin,80
Massachusetts,80
Florida,79
California,79
Illinois,79
Mississippi,78
New Mexico,78
Colorado,77
Nebraska,77
Kentucky,76
South Dakota,76
Pennsylvania,76
Vermont,76
West Virginia,75
Utah,75
Nevada,74
Iowa,74
Missouri,73
North Dakota,71
Kansas,70
Connecticut,69
Hawaii,68
Michigan,68
Delaware,66
Rhode Island,64
Alabama,61
Oregon,59
South Carolina,54
