Category: All categories

Region,2016 election: (8/10/16 - 11/8/16)
Wyoming,100
Minnesota,92
Indiana,88
Vermont,88
District of Columbia,87
Arizona,86
Arkansas,85
Idaho,82
Alaska,81
Oklahoma,81
Virginia,81
Kentucky,81
Iowa,81
North Dakota,80
Maryland,78
Utah,78
Ohio,78
Missouri,78
Montana,78
South Dakota,78
Pennsylvania,78
New York,77
Maine,77
Illinois,77
New Jersey,77
North Carolina,76
Wisconsin,76
Connecticut,75
Colorado,74
Michigan,74
California,74
Nebraska,73
Rhode Island,73
Alabama,73
Delaware,73
Kansas,72
New Hampshire,72
Georgia,72
Florida,71
Massachusetts,70
Louisiana,70
Washington,70
Texas,69
South Carolina,67
Tennessee,67
West Virginia,65
Hawaii,64
Nevada,63
New Mexico,60
Mississippi,60
Oregon,60
