Category: All categories

Region,absentee ballot: (8/10/16 - 11/8/16)
Vermont,100
North Dakota,98
District of Columbia,97
Michigan,90
Maine,89
Virginia,85
Iowa,85
Rhode Island,80
Pennsylvania,77
Delaware,77
New York,76
Massachusetts,73
South Carolina,70
Maryland,69
Montana,68
Minnesota,67
Connecticut,65
Alabama,64
Oklahoma,63
South Dakota,63
Alaska,61
New Hampshire,59
Missouri,58
Idaho,58
Georgia,58
Ohio,57
Hawaii,52
North Carolina,52
New Jersey,50
Indiana,50
Nebraska,49
Florida,44
New Mexico,44
Kentucky,42
West Virginia,41
Wisconsin,40
Mississippi,39
Kansas,36
Tennessee,34
Nevada,33
Illinois,33
Wyoming,32
Louisiana,29
Utah,28
Arkansas,28
California,26
Colorado,26
Arizona,21
Texas,18
Washington,17
Oregon,17
