Category: All categories

Region,early voting: (8/10/16 - 11/8/16)
North Carolina,100
Georgia,79
Texas,77
Tennessee,73
Maryland,68
Florida,66
New Mexico,65
District of Columbia,64
Arkansas,63
Indiana,55
Nevada,54
Massachusetts,51
Illinois,50
Louisiana,45
Oklahoma,40
Minnesota,39
West Virginia,38
Alaska,36
Kansas,36
Wisconsin,33
South Carolina,33
Ohio,31
Arizona,30
Virginia,29
North Dakota,29
Idaho,28
Iowa,27
Missouri,22
Nebraska,19
New Hampshire,18
Vermont,17
Maine,16
Wyoming,16
South Dakota,16
Kentucky,16
Hawaii,16
Delaware,15
Utah,15
California,15
Rhode Island,15
New York,14
Montana,14
Connecticut,14
Alabama,14
New Jersey,13
Mississippi,13
Michigan,13
Pennsylvania,12
Colorado,11
Washington,7
Oregon,6
