Category: All categories

Region,donald trump: (8/10/16 - 11/8/16)
District of Columbia,100
Pennsylvania,99
New Jersey,99
Rhode Island,97
Maine,95
New Hampshire,93
Connecticut,92
New York,92
Ohio,90
Michigan,90
Massachusetts,90
Arizona,90
Maryland,89
Florida,88
Nevada,88
Delaware,87
North Carolina,85
West Virginia,85
Virginia,84
Kentucky,84
Illinois,84
Minnesota,83
California,83
Iowa,82
Georgia,81
Texas,81
Indiana,81
Washington,81
Wisconsin,79
Missouri,78
Tennessee,77
Alabama,77
Mississippi,77
Oklahoma,76
Louisiana,76
Colorado,76
South Carolina,76
Vermont,75
New Mexico,75
Arkansas,74
Nebraska,73
Oregon,70
South Dakota,65
North Dakota,65
Kansas,64
Idaho,64
Montana,64
Utah,62
Wyoming,60
Hawaii,59
Alaska,56
