Category: All categories

Region,register to vote: (8/5/20 - 11/3/20)
Idaho,100
Wyoming,96
Utah,95
Texas,95
Wisconsin,91
South Dakota,86
North Carolina,84
Arkansas,80
Kansas,80
Pennsylvania,80
Iowa,79
Virginia,79
Montana,78
Illinois,77
New Hampshire,77
Minnesota,76
Nevada,76
Oklahoma,75
New York,75
Connecticut,74
Oregon,73
Louisiana,72
Ohio,72
Maine,71
Florida,71
Arizona,71
Colorado,71
South Carolina,70
District of Columbia,70
Missouri,69
Washington,68
Indiana,68
New Jersey,68
Mississippi,67
California,67
Massachusetts,66
Alabama,66
New Mexico,66
Tennessee,66
Maryland,65
Michigan,64
Georgia,64
Delaware,64
Hawaii,61
Nebraska,60
North Dakota,60
Rhode Island,60
Kentucky,60
West Virginia,58
Alaska,58
Vermont,57
