Category: All categories

Region,election day: (8/5/20 - 11/3/20)
District of Columbia,100
West Virginia,80
New York,78
Delaware,76
Maryland,75
Minnesota,73
Virginia,72
Indiana,72
Pennsylvania,72
Illinois,69
New Jersey,68
Connecticut,68
Hawaii,67
Montana,66
Tennessee,66
South Carolina,64
Oregon,64
Vermont,64
Rhode Island,64
Florida,63
Washington,63
Colorado,63
Wyoming,62
North Dakota,62
Idaho,61
Arizona,59
Georgia,59
Kentucky,59
Massachusetts,58
Missouri,58
Utah,58
Alaska,58
Iowa,58
Texas,58
North Carolina,58
California,57
Ohio,56
Nebraska,56
Maine,55
Wisconsin,55
New Mexico,54
New Hampshire,54
Kansas,54
Michigan,53
Nevada,51
South Dakota,51
Louisiana,51
Arkansas,50
Oklahoma,46
Alabama,42
Mississippi,39
