Category: All categories

Region,ballot drop box: (8/5/20 - 11/3/20)
Oregon,100
Washington,97
Arizona,72
California,67
District of Columbia,60
Hawaii,50
Utah,40
New Jersey,40
Maryland,37
Colorado,36
Pennsylvania,27
Illinois,27
Kansas,25
Georgia,24
Michigan,23
Ohio,23
Massachusetts,21
Montana,21
Nevada,21
Idaho,20
Rhode Island,19
Kentucky,18
Virginia,18
Florida,18
Alaska,18
Delaware,18
Wisconsin,17
Minnesota,16
Connecticut,15
New Mexico,14
Nebraska,14
Vermont,13
New York,12
North Dakota,12
Iowa,12
Maine,11
North Carolina,8
South Carolina,7
New Hampshire,6
Indiana,6
Oklahoma,5
West Virginia,5
Missouri,5
Texas,5
Alabama,4
Arkansas,3
Louisiana,3
Tennessee,2
