Category: All categories

Region,voter id: (8/5/20 - 11/3/20)
Alaska,100
District of Columbia,94
Arizona,75
Iowa,63
Oklahoma,57
Missouri,55
Idaho,52
Montana,52
Wisconsin,50
North Carolina,49
Mississippi,46
Virginia,45
Arkansas,44
New Hampshire,43
Pennsylvania,43
Texas,43
South Carolina,41
Alabama,40
Rhode Island,38
West Virginia,38
New Jersey,38
Maryland,36
Florida,35
Tennessee,35
New Mexico,34
Nevada,34
Georgia,33
New York,33
Illinois,32
Nebraska,32
Connecticut,31
Ohio,30
Indiana,30
Minnesota,30
Kansas,29
Colorado,28
Massachusetts,28
Michigan,27
Delaware,26
Utah,24
Kentucky,24
Washington,22
Louisiana,22
California,20
Hawaii,19
Maine,17
Oregon,16
