Category: All categories

Region,where to vote: (8/7/24 - 11/5/24)
Indiana,100
North Dakota,96
Arkansas,92
Iowa,92
Texas,90
South Dakota,88
Alabama,88
Oklahoma,87
Arizona,86
Mississippi,84
South Carolina,83
Minnesota,83
Utah,82
Wisconsin,82
Georgia,82
North Carolina,82
Kansas,81
Missouri,80
Wyoming,79
Illinois,79
New Jersey,78
Ohio,77
Nebraska,76
Nevada,76
Idaho,75
Michigan,75
Kentucky,74
Montana,74
Pennsylvania,73
Louisiana,72
Tennessee,71
Florida,71
Alaska,71
California,71
Delaware,70
Virginia,70
Rhode Island,69
Connecticut,69
Maryland,69
Washington,69
Colorado,67
New Mexico,66
Massachusetts,65
New Hampshire,64
New York,63
Vermont,63
West Virginia,60
Maine,59
Oregon,58
Hawaii,56
District of Columbia,55
