Category: All categories

Region,electoral college: (8/7/24 - 11/5/24)
District of Columbia,100
Maine,72
Vermont,71
Nebraska,65
Connecticut,65
Massachusetts,63
Kansas,62
New Hampshire,62
Delaware,62
North Carolina,62
Pennsylvania,61
New Jersey,58
Washington,57
West Virginia,57
Indiana,57
Iowa,57
Kentucky,57
Minnesota,56
Virginia,56
Wyoming,56
Rhode Island,55
Oregon,55
Arkansas,54
Alaska,54
Ohio,54
Louisiana,54
Idaho,53
Alabama,53
Wisconsin,53
Missouri,53
New Mexico,53
New York,53
Oklahoma,53
Arizona,52
North Dakota,52
Georgia,51
Nevada,51
Maryland,50
South Dakota,50
South Carolina,50
California,50
Utah,50
Montana,49
Mississippi,49
Colorado,49
Illinois,48
Florida,48
Michigan,48
Texas,47
Tennessee,47
Hawaii,47
