Category: All categories

Region,vote by mail: (8/7/24 - 11/5/24)
Florida,100
Illinois,79
District of Columbia,75
New Jersey,66
Massachusetts,65
Pennsylvania,54
Arizona,53
Nebraska,50
Rhode Island,40
Maryland,40
Vermont,38
Kansas,34
Oregon,31
New York,31
North Carolina,30
Delaware,28
Nevada,28
California,27
Alaska,27
Utah,27
Virginia,27
Wisconsin,26
Maine,25
Iowa,24
Hawaii,24
Texas,24
Michigan,24
Connecticut,23
New Hampshire,22
Indiana,22
Minnesota,22
Washington,22
Ohio,21
Colorado,20
South Carolina,19
West Virginia,19
Oklahoma,17
Idaho,17
Missouri,17
Georgia,17
Tennessee,16
Montana,16
Louisiana,16
New Mexico,16
Kentucky,14
Alabama,14
Arkansas,11
Mississippi,10
