Category: All categories

Region,barack obama: (8/8/12 - 11/6/12)
Virginia,100
New Hampshire,96
District of Columbia,95
Iowa,91
Ohio,90
Nevada,88
Florida,86
Wisconsin,86
North Carolina,85
Colorado,85
Alabama,83
Connecticut,82
Utah,80
Maryland,78
Pennsylvania,78
Kentucky,77
West Virginia,76
Maine,76
Indiana,76
Kansas,76
New Jersey,76
Georgia,75
New Mexico,75
Massachusetts,74
Nebraska,74
South Carolina,74
Arizona,74
Arkansas,74
Illinois,72
Tennessee,72
Oregon,71
New York,71
Missouri,71
Mississippi,70
Delaware,70
Vermont,70
Washington,69
Idaho,69
Oklahoma,69
Rhode Island,68
California,67
Louisiana,67
Texas,67
Wyoming,67
Michigan,66
Minnesota,65
Montana,64
Alaska,58
South Dakota,58
North Dakota,57
Hawaii,53
