Category: All categories

Region,mitt romney: (8/8/12 - 11/6/12)
Utah,100
District of Columbia,90
New Hampshire,89
Virginia,89
Ohio,86
Massachusetts,83
Colorado,78
Iowa,77
Pennsylvania,74
Maryland,73
North Carolina,72
Wisconsin,72
Idaho,71
Connecticut,70
Vermont,70
Maine,70
Kentucky,69
New Mexico,68
West Virginia,68
Florida,68
Rhode Island,68
Alabama,66
Nevada,66
New York,66
Indiana,65
Oregon,65
Arizona,64
Michigan,63
New Jersey,63
Tennessee,62
Minnesota,62
Illinois,62
Kansas,61
Delaware,60
California,60
Nebraska,60
Arkansas,60
Georgia,60
Washington,59
Wyoming,59
Missouri,58
South Carolina,58
Oklahoma,57
Montana,56
Mississippi,54
Texas,54
Louisiana,52
Alaska,51
North Dakota,50
South Dakota,50
Hawaii,48
