Category: All categories

Region,paul ryan: (8/8/12 - 11/6/12)
Wisconsin,100
Virginia,89
District of Columbia,85
Ohio,81
Colorado,75
New Hampshire,73
Massachusetts,72
Pennsylvania,71
Wyoming,71
Maryland,70
North Carolina,69
Illinois,69
Florida,69
Maine,69
Vermont,68
Connecticut,68
Indiana,67
Delaware,67
Oregon,66
Montana,65
New York,65
Minnesota,65
Washington,65
New Jersey,63
Alabama,63
Iowa,62
Tennessee,62
Utah,62
Idaho,62
Nebraska,62
Kansas,61
Arkansas,61
Rhode Island,61
Missouri,61
Georgia,61
New Mexico,60
California,60
Michigan,59
Louisiana,58
Kentucky,58
Oklahoma,58
West Virginia,58
Arizona,57
Alaska,56
South Carolina,56
Texas,54
Mississippi,53
Nevada,53
North Dakota,51
South Dakota,49
Hawaii,48
