Category: All categories

Region,hillary clinton: (8/10/16 - 11/8/16)
New Hampshire,100
District of Columbia,99
Pennsylvania,96
Connecticut,94
New York,91
Oklahoma,91
Maine,89
Vermont,88
Massachusetts,87
Michigan,87
Maryland,87
Ohio,87
North Carolina,85
Arkansas,84
West Virginia,84
Iowa,83
Tennessee,83
New Jersey,83
Arizona,82
Missouri,82
Minnesota,82
Nevada,81
Kentucky,81
Alabama,81
Rhode Island,81
Florida,80
Indiana,80
Colorado,78
Illinois,77
Nebraska,77
Delaware,76
Virginia,76
Montana,76
Georgia,74
Washington,74
Wisconsin,73
Idaho,73
North Dakota,72
Louisiana,72
South Dakota,72
Alaska,72
Kansas,72
Texas,71
South Carolina,69
Oregon,68
New Mexico,66
Mississippi,66
California,66
Utah,66
Wyoming,64
Hawaii,55
