Category: All categories

Region,presidential candidates: (8/10/16 - 11/8/16)
Utah,100
North Dakota,98
South Dakota,91
Idaho,90
Minnesota,88
Montana,86
Iowa,81
Maine,80
Wyoming,79
Wisconsin,76
Arkansas,75
Alaska,74
Missouri,73
Colorado,71
Kansas,70
Kentucky,70
Indiana,70
New Mexico,67
Nebraska,67
Michigan,66
New Hampshire,65
Oklahoma,65
Mississippi,64
Louisiana,63
Connecticut,63
Nevada,60
Ohio,60
Tennessee,60
Delaware,60
Hawaii,59
Vermont,59
Rhode Island,59
South Carolina,58
Arizona,58
West Virginia,57
Washington,57
Virginia,57
Pennsylvania,56
District of Columbia,56
Texas,56
Florida,56
Maryland,54
Alabama,53
Illinois,52
North Carolina,51
New Jersey,50
Massachusetts,48
New York,46
Oregon,46
Georgia,45
California,44
