Category: All categories

Region,presidential polls: (8/10/16 - 11/8/16)
Wyoming,100
Colorado,89
Kentucky,89
North Carolina,88
North Dakota,87
Washington,86
Arkansas,84
Nebraska,84
Minnesota,83
Montana,81
Ohio,80
Pennsylvania,80
Tennessee,80
Iowa,79
Alabama,79
Missouri,78
Florida,78
West Virginia,77
South Dakota,77
Oregon,76
Arizona,76
Alaska,76
Michigan,75
Utah,74
Maine,74
Georgia,73
Indiana,73
District of Columbia,73
Nevada,72
Kansas,72
Texas,71
Delaware,71
Connecticut,71
Oklahoma,71
New Jersey,70
Massachusetts,69
Idaho,69
Wisconsin,69
New Hampshire,69
New Mexico,68
Virginia,68
Maryland,67
Louisiana,67
New York,65
Illinois,64
Rhode Island,63
South Carolina,62
Vermont,62
California,61
Mississippi,60
Hawaii,54
