Category: All categories

Region,tim kaine: (8/10/16 - 11/8/16)
District of Columbia,100
Virginia,92
New Hampshire,63
Maine,61
New York,58
Missouri,57
Pennsylvania,57
Rhode Island,57
Maryland,55
Kansas,54
Florida,54
Wisconsin,54
New Jersey,53
Massachusetts,52
Delaware,52
Minnesota,52
Tennessee,52
North Carolina,51
Iowa,51
Vermont,51
Connecticut,50
Ohio,50
Alabama,50
Kentucky,50
West Virginia,50
Indiana,49
Michigan,48
Arkansas,47
Arizona,47
Nevada,47
Colorado,47
Nebraska,45
Oklahoma,45
Washington,44
Wyoming,42
Louisiana,42
California,42
South Carolina,41
Idaho,41
Illinois,40
Mississippi,40
New Mexico,40
South Dakota,40
Oregon,40
Georgia,39
Montana,39
Texas,38
Alaska,37
Utah,35
Hawaii,33
North Dakota,30
