Category: All categories

Region,mike pence: (8/10/16 - 11/8/16)
Indiana,100
District of Columbia,83
Massachusetts,78
New Hampshire,76
Virginia,75
New York,70
Pennsylvania,68
Delaware,68
Maine,67
Vermont,66
Ohio,65
New Jersey,63
Michigan,63
Connecticut,60
Iowa,59
Nebraska,58
North Carolina,57
Rhode Island,57
Washington,57
West Virginia,56
Kentucky,55
Florida,55
Montana,54
New Mexico,54
Minnesota,54
Maryland,53
California,52
South Dakota,52
Illinois,52
Alaska,51
Kansas,51
Georgia,50
Colorado,50
Oklahoma,50
Missouri,50
Alabama,50
Idaho,49
Wisconsin,49
Nevada,49
North Dakota,48
Oregon,47
Tennessee,47
Arkansas,46
Arizona,45
Texas,45
Utah,45
Wyoming,43
Louisiana,41
South Carolina,40
Hawaii,40
Mississippi,39
