Category: All categories

Region,joe biden: (8/5/20 - 11/3/20)
District of Columbia,100
Delaware,91
Pennsylvania,89
Wisconsin,83
New Hampshire,81
Maine,77
Minnesota,75
Michigan,74
Massachusetts,73
Connecticut,71
Washington,71
Arizona,70
Oregon,68
New Jersey,68
Vermont,68
Rhode Island,68
Virginia,66
Ohio,66
North Carolina,66
Nebraska,66
Colorado,65
Maryland,65
West Virginia,63
Illinois,62
Iowa,62
North Dakota,62
Idaho,62
Missouri,61
California,61
Kansas,61
New York,60
Florida,60
Indiana,59
South Dakota,59
Utah,59
Nevada,59
Montana,58
Wyoming,58
Tennessee,58
Kentucky,58
Alaska,57
New Mexico,56
Arkansas,55
Georgia,54
Texas,54
Oklahoma,54
South Carolina,54
Alabama,53
Hawaii,51
Louisiana,44
Mississippi,43
