Category: All categories

Region,donald trump: (8/5/20 - 11/3/20)
Vermont,100
Maine,100
Minnesota,94
New Hampshire,94
District of Columbia,94
Oregon,93
Pennsylvania,91
Wisconsin,90
Massachusetts,90
Washington,87
Rhode Island,84
Michigan,83
Arizona,81
Colorado,80
New Jersey,77
Montana,77
Iowa,77
Ohio,76
Delaware,76
New York,76
Maryland,76
Connecticut,75
Virginia,75
Illinois,74
New Mexico,74
Idaho,73
Nebraska,73
Florida,73
Nevada,73
California,72
South Dakota,71
West Virginia,70
Missouri,68
Alaska,68
Kansas,67
North Dakota,67
Indiana,67
North Carolina,67
Utah,66
Hawaii,66
Wyoming,66
Tennessee,65
Arkansas,62
Oklahoma,62
Georgia,61
Kentucky,61
South Carolina,60
Texas,57
Alabama,54
Louisiana,51
Mississippi,46
