Category: All categories

Region,kamala harris: (8/5/20 - 11/3/20)
District of Columbia,100
Delaware,83
Massachusetts,76
Pennsylvania,75
Maine,75
Maryland,74
New Jersey,73
Virginia,71
New Hampshire,69
Washington,69
Michigan,68
Connecticut,67
Minnesota,67
Oregon,66
South Carolina,66
Arizona,66
North Carolina,65
Colorado,65
Ohio,65
Florida,64
Illinois,64
Wisconsin,64
Georgia,63
Rhode Island,62
New York,62
Missouri,61
Vermont,60
California,60
West Virginia,60
Alabama,59
Tennessee,59
Indiana,59
Kansas,58
Nevada,55
Nebraska,54
Arkansas,54
Kentucky,54
Louisiana,54
Texas,53
Wyoming,52
New Mexico,52
Montana,52
Idaho,52
Mississippi,52
Hawaii,52
Utah,51
Iowa,50
Oklahoma,50
North Dakota,49
South Dakota,49
Alaska,48
