Category: All categories

Region,vice presidential debate: (8/5/20 - 11/3/20)
Utah,100
District of Columbia,93
Vermont,90
Maine,76
Oregon,70
Virginia,70
Montana,69
Washington,68
Wyoming,67
Idaho,67
Delaware,66
Kansas,66
Pennsylvania,64
New Hampshire,64
Connecticut,63
Rhode Island,63
South Dakota,62
Massachusetts,61
Iowa,61
Nebraska,61
Ohio,60
Colorado,60
North Dakota,59
Alaska,59
Wisconsin,59
Minnesota,58
New York,56
California,55
Illinois,54
North Carolina,53
Maryland,53
Missouri,53
New Jersey,52
Michigan,52
Indiana,51
New Mexico,51
West Virginia,50
Florida,50
Arkansas,49
Kentucky,48
Alabama,48
Oklahoma,48
South Carolina,48
Hawaii,48
Arizona,47
Tennessee,46
Georgia,45
Nevada,43
Texas,42
Louisiana,41
Mississippi,37
