Category: All categories

Region,kamala harris: (8/7/24 - 11/5/24)
District of Columbia,100
Wisconsin,66
Maine,65
Pennsylvania,65
Michigan,64
Vermont,63
Delaware,60
New Hampshire,60
New Jersey,58
North Carolina,57
Nevada,57
Massachusetts,57
Maryland,56
Arizona,55
Washington,55
Minnesota,55
Rhode Island,54
Oregon,53
Connecticut,53
Georgia,53
Colorado,51
Montana,50
Illinois,50
Virginia,50
New Mexico,49
Florida,49
West Virginia,48
California,48
Wyoming,48
South Carolina,47
New York,47
Ohio,47
Kansas,46
Indiana,46
Iowa,46
Tennessee,46
Nebraska,45
Alabama,45
Missouri,45
Kentucky,45
Hawaii,44
Oklahoma,44
Idaho,43
Arkansas,43
Utah,42
Alaska,42
Texas,42
South Dakota,42
Louisiana,41
North Dakota,40
Mississippi,35
