Category: All categories

Region,tim walz: (8/7/24 - 11/5/24)
Minnesota,100
Nebraska,56
District of Columbia,55
Wisconsin,49
Maine,43
Vermont,41
Washington,40
Michigan,38
Oregon,38
North Dakota,38
Massachusetts,37
Pennsylvania,37
Colorado,36
Delaware,36
South Dakota,36
New Hampshire,35
Kansas,35
Iowa,34
Illinois,34
Arizona,33
Montana,33
Rhode Island,33
Connecticut,33
North Carolina,33
Missouri,33
Ohio,33
New Jersey,32
Wyoming,32
Virginia,31
Maryland,31
Kentucky,30
New York,29
Indiana,28
Nevada,28
Alabama,28
Tennessee,28
West Virginia,27
Florida,27
Oklahoma,27
South Carolina,27
California,27
Alaska,27
Georgia,26
New Mexico,26
Idaho,25
Utah,25
Arkansas,24
Hawaii,24
Louisiana,22
Texas,21
Mississippi,19
