Category: All categories

Region,jd vance: (8/7/24 - 11/5/24)
District of Columbia,100
Minnesota,92
Vermont,86
Ohio,85
Wisconsin,84
Michigan,83
Massachusetts,81
Pennsylvania,81
Maine,76
New Hampshire,75
Washington,74
Delaware,73
Oregon,71
Connecticut,70
Colorado,69
Virginia,69
Rhode Island,68
North Carolina,68
Maryland,67
Illinois,66
Kentucky,66
Montana,65
New Jersey,63
Missouri,62
West Virginia,61
Arizona,60
Tennessee,60
New York,59
Indiana,59
South Dakota,57
Georgia,57
Nebraska,57
Oklahoma,57
California,56
North Dakota,55
Idaho,55
Kansas,55
Wyoming,54
South Carolina,54
Florida,54
Alaska,52
Nevada,52
New Mexico,52
Utah,51
Iowa,51
Alabama,51
Hawaii,47
Texas,47
Arkansas,45
Louisiana,42
Mississippi,39
