term_id,term,chosen_mid,chosen_title,chosen_type,alternatives
nominee_dem,barack obama,/m/02mjmr,Barack Obama,44th U.S. President,"/m/05c3l59=Barack Obama ""Hope"" poster (Work of art) | /m/06_wyyq=Family of Barack Obama (Family) | /m/0jx3btf=The Other Wes Moore: One Name, Two Fates (Book by Wes Moore) | /g/11j01f11bc=Obama tan suit controversy (Incident)"
nominee_rep,mitt romney,/m/0271_s,Mitt Romney,Businessman and former United States Senator,/g/11rwq1qg7h=Mitt Romney (Topic) | /m/03m5dk9=Tagg Romney (American consultant and businessman) | /m/0gl000h=Mitt Romney 2012 presidential campaign (Election campaign) | /g/11ldg32f6n=Star-Spangled Jesus: Leaving Christian Nationalism and Finding A True Faith (Book by April Ajoy)
running_mate_dem,joe biden,/m/012gx2,Joe Biden,46th U.S. President,/g/11qnb9gr97=Presidency of Joe Biden (Topic) | /g/11q_7mpr93=Build Back Better Plan (Topic) | /g/11y6gls8w3=Alencia Johnson (Author) | /g/11lp4y0njd=Joe Biden–Donald Trump 2024 presidential debate (Topic)
running_mate_rep,paul ryan,/m/024v2j,Paul Ryan,Former Speaker of the United States House of Representatives,/m/01wglss=Sean Paul (Jamaican rapper and singer) | /g/11f0yr4swd=JORDAN. RAYNOR (Author) | /g/11gg6bw032=Grimtooth's Traps (Book by Rick Loomis) | /g/113rx4qt6=Troy Bramston (Columnist)
nominee_dem,hillary clinton,/m/0d06m5,Hillary Clinton,Lawyer and former United States Secretary of State,"/m/0130gw45=Hillary Clinton email controversy (Topic) | /m/01k1f9=Bill and Hillary Clinton National Airport (Airport in Little Rock, Arkansas) | /g/11hz8lw2x4=Basil A. Smikle, Jr. (Author) | /g/11rn2hqwwz=Dandapani (Author)"
nominee_rep,donald trump,/m/0cqt90,Donald Trump,45th and 47th U.S. President,"/m/0dzqp5=Donald Trump Jr. (American businessman ‧ Donald Trump's son) | /m/01q6gd=President Donald J. Trump International Airport (Airport in Palm Beach County, Florida) | /g/11w7p4_k3g=Age and health concerns about Donald Trump (Topic) | /g/11xs8q_j7t=Relationship of Donald Trump and Jeffrey Epstein (Topic)"
running_mate_dem,tim kaine,/m/053f8h,Tim Kaine,United States Senator,"/g/11gvwqkrqp=Senator Tim Kaine (Topic) | /g/1ygbbfxl6=U.S. Senator Tim Kaine (Government office in Roanoke, Virginia) | /g/11kqrvf2ql=Walk Ride Paddle: A Life Outside (Book by Tim Kaine) | /g/11w3m9hv6w=Finding God Along the Way: Wisdom from the Ignatian Camino for Life at Home (Book by Christine Marie EBERLE)"
running_mate_rep,mike pence,/m/022r9r,Mike Pence,Lawyer and former Vice President of the United States,/g/11mw7rwys1=Mike Pence (Topic) | /g/11hjlyr2t0=Mike Pence (Topic) | /g/11yl8mf3rf=What Conservatives Believe: Rediscovering the Conservative Conscience (Book by Mike Pence) | /g/11v0ks2300=Mike Pence 2024 presidential campaign (Election campaign)
nominee_dem,joe biden,/m/012gx2,Joe Biden,46th U.S. President,/g/11qnb9gr97=Presidency of Joe Biden (Topic) | /g/11q_7mpr93=Build Back Better Plan (Topic) | /g/11y6gls8w3=Alencia Johnson (Author) | /g/11lp4y0njd=Joe Biden–Donald Trump 2024 presidential debate (Topic)
running_mate_dem,kamala harris,/m/08sry2,Kamala Harris,Attorney and former Vice President of the United States,/g/11yr0bh_v_=Kamala Harris (Topic) | /m/05k_kx=Kamala (Wrestler) | /g/11f4pw_k9_=Elsa Kurt (Author) | /g/11y6gls8w3=Alencia Johnson (Author)
nominee_dem,kamala harris,/m/08sry2,Kamala Harris,Attorney and former Vice President of the United States,/g/11yr0bh_v_=Kamala Harris (Topic) | /m/05k_kx=Kamala (Wrestler) | /g/11f4pw_k9_=Elsa Kurt (Author) | /g/11y6gls8w3=Alencia Johnson (Author)
running_mate_dem,tim walz,/m/06wntz,Tim Walz,Governor of Minnesota,"/g/11d_764nct=Representative Tim Walz (Topic) | /g/11vwf50nxk=2024 United States vice presidential debate (Event) | /g/11wmw_s4t1=How I Found Myself in the Midwest: A Memoir of Reinvention (Book by Steve Grove) | /g/11f77v8_5v=Tim Walz gubernatorial campaign, 2018 (Election campaign)"
running_mate_rep,jd vance,/g/11c6v_wj1r,JD Vance,Vice President of the United States,/g/11z38xd4wr=Communion: Finding My Way Back to Faith (Book by JD Vance) | /g/11vwf50nxk=2024 United States vice presidential debate (Event) | /g/11m78tdkvj=Furious Minds: The Making of the MAGA New Right (Book by Laura K. Field) | /g/11wv33f8gj=Gilded Rage: Elon Musk and the Radicalization of Silicon Valley (Book by Jacob Silverman)
