order,year,category,term_id,term,form,window_start,window_end,url,save_as,downloaded,max_value,notes
1,2012,C4_candidates,nominee_dem,barack obama,TOPIC,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=barack%20obama,2012_C4_candidates_nominee_dem.csv,,,"added 2026-09-22, pre-registered expansion"
2,2012,C4_candidates,nominee_rep,mitt romney,TOPIC,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=mitt%20romney,2012_C4_candidates_nominee_rep.csv,,,"added 2026-09-22, pre-registered expansion"
3,2012,C4_candidates,running_mate_dem,joe biden,TOPIC,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=joe%20biden,2012_C4_candidates_running_mate_dem.csv,,,"added 2026-09-22, pre-registered expansion"
4,2012,C4_candidates,running_mate_rep,paul ryan,TOPIC,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=paul%20ryan,2012_C4_candidates_running_mate_rep.csv,,,"added 2026-09-22, pre-registered expansion"
5,2012,C4_candidates,vice_presidential_debate,vice presidential debate,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=vice%20presidential%20debate,2012_C4_candidates_vice_presidential_debate.csv,,,"added 2026-09-22, pre-registered expansion"
6,2012,C4_candidates,presidential_polls,presidential polls,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=presidential%20polls,2012_C4_candidates_presidential_polls.csv,,,"added 2026-09-22, pre-registered expansion"
7,2012,C4_candidates,presidential_candidates,presidential candidates,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=presidential%20candidates,2012_C4_candidates_presidential_candidates.csv,,,"added 2026-09-22, pre-registered expansion"
8,2016,C4_candidates,nominee_dem,hillary clinton,TOPIC,2016-08-10,2016-11-08,https://trends.google.com/trends/explore?date=2016-08-10%202016-11-08&geo=US&hl=en-US&q=hillary%20clinton,2016_C4_candidates_nominee_dem.csv,,,"added 2026-09-22, pre-registered expansion"
9,2016,C4_candidates,nominee_rep,donald trump,TOPIC,2016-08-10,2016-11-08,https://trends.google.com/trends/explore?date=2016-08-10%202016-11-08&geo=US&hl=en-US&q=donald%20trump,2016_C4_candidates_nominee_rep.csv,,,"added 2026-09-22, pre-registered expansion"
10,2016,C4_candidates,running_mate_dem,tim kaine,TOPIC,2016-08-10,2016-11-08,https://trends.google.com/trends/explore?date=2016-08-10%202016-11-08&geo=US&hl=en-US&q=tim%20kaine,2016_C4_candidates_running_mate_dem.csv,,,"added 2026-09-22, pre-registered expansion"
11,2016,C4_candidates,running_mate_rep,mike pence,TOPIC,2016-08-10,2016-11-08,https://trends.google.com/trends/explore?date=2016-08-10%202016-11-08&geo=US&hl=en-US&q=mike%20pence,2016_C4_candidates_running_mate_rep.csv,,,"added 2026-09-22, pre-registered expansion"
12,2016,C4_candidates,vice_presidential_debate,vice presidential debate,term,2016-08-10,2016-11-08,https://trends.google.com/trends/explore?date=2016-08-10%202016-11-08&geo=US&hl=en-US&q=vice%20presidential%20debate,2016_C4_candidates_vice_presidential_debate.csv,,,"added 2026-09-22, pre-registered expansion"
13,2016,C4_candidates,presidential_polls,presidential polls,term,2016-08-10,2016-11-08,https://trends.google.com/trends/explore?date=2016-08-10%202016-11-08&geo=US&hl=en-US&q=presidential%20polls,2016_C4_candidates_presidential_polls.csv,,,"added 2026-09-22, pre-registered expansion"
14,2016,C4_candidates,presidential_candidates,presidential candidates,term,2016-08-10,2016-11-08,https://trends.google.com/trends/explore?date=2016-08-10%202016-11-08&geo=US&hl=en-US&q=presidential%20candidates,2016_C4_candidates_presidential_candidates.csv,,,"added 2026-09-22, pre-registered expansion"
15,2020,C4_candidates,nominee_dem,joe biden,TOPIC,2020-08-05,2020-11-03,https://trends.google.com/trends/explore?date=2020-08-05%202020-11-03&geo=US&hl=en-US&q=joe%20biden,2020_C4_candidates_nominee_dem.csv,,,"added 2026-09-22, pre-registered expansion"
16,2020,C4_candidates,nominee_rep,donald trump,TOPIC,2020-08-05,2020-11-03,https://trends.google.com/trends/explore?date=2020-08-05%202020-11-03&geo=US&hl=en-US&q=donald%20trump,2020_C4_candidates_nominee_rep.csv,,,"added 2026-09-22, pre-registered expansion"
17,2020,C4_candidates,running_mate_dem,kamala harris,TOPIC,2020-08-05,2020-11-03,https://trends.google.com/trends/explore?date=2020-08-05%202020-11-03&geo=US&hl=en-US&q=kamala%20harris,2020_C4_candidates_running_mate_dem.csv,,,"added 2026-09-22, pre-registered expansion"
