Category: All categories

Region,Early voting: (8/7/24 - 11/5/24)
North Carolina,100
Georgia,83
South Carolina,80
Tennessee,76
Indiana,68
Texas,67
Delaware,65
Florida,63
West Virginia,62
Connecticut,55
Missouri,55
Arkansas,54
Maryland,53
Virginia,53
Wisconsin,50
New Mexico,49
District of Columbia,48
Louisiana,47
Illinois,47
Minnesota,47
Kansas,44
Kentucky,44
New York,44
Michigan,44
New Jersey,43
Oklahoma,43
Ohio,39
Alaska,39
North Dakota,39
Nevada,39
Iowa,38
Rhode Island,32
Idaho,30
Massachusetts,30
Arizona,25
South Dakota,24
Nebraska,23
Pennsylvania,22
Alabama,20
Maine,20
Wyoming,18
New Hampshire,17
Mississippi,16
Vermont,13
Colorado,13
Montana,12
Utah,10
Washington,9
California,9
Hawaii,7
Oregon,7
