Category: All categories

Region,United States presidential election: (8/7/24 - 11/5/24)
District of Columbia,100
Washington,69
New Jersey,68
New York,66
Massachusetts,65
Florida,62
Texas,61
Alaska,60
Wyoming,59
California,58
Illinois,57
Virginia,57
Rhode Island,55
New Hampshire,55
Pennsylvania,55
North Carolina,54
Colorado,54
Idaho,54
Montana,54
Maryland,53
Connecticut,53
Utah,53
Georgia,53
Arkansas,52
Kansas,52
Oregon,52
Nevada,52
Vermont,52
Ohio,51
Michigan,51
South Dakota,51
Hawaii,50
North Dakota,50
Arizona,50
Delaware,49
Iowa,49
Wisconsin,49
Maine,49
Minnesota,49
Oklahoma,48
Indiana,48
Nebraska,48
Tennessee,48
Kentucky,46
West Virginia,46
Louisiana,45
Missouri,45
New Mexico,44
Alabama,42
South Carolina,42
Mississippi,41
