Category: All categories

Region,Voting: (8/7/24 - 11/5/24)
District of Columbia,100
North Carolina,93
Wisconsin,89
Georgia,89
Florida,88
Indiana,86
Delaware,84
South Carolina,84
Texas,83
Missouri,82
Minnesota,79
Nebraska,79
Connecticut,79
Tennessee,79
Kentucky,77
Arkansas,77
Michigan,77
Arizona,77
Oklahoma,76
Kansas,76
Idaho,76
Nevada,75
Iowa,74
Pennsylvania,73
New Mexico,73
Rhode Island,72
Maryland,72
Ohio,72
North Dakota,72
Alaska,71
Illinois,71
Virginia,70
West Virginia,70
Louisiana,69
Alabama,68
South Dakota,67
New Hampshire,66
New Jersey,66
Wyoming,65
Maine,64
Massachusetts,64
Montana,64
New York,64
Colorado,63
Utah,61
Vermont,56
Mississippi,56
Oregon,55
Washington,55
California,52
Hawaii,45
