STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
United States,,"83,155,963","81,687,059","245,497,227",8.30%,"1,493,706","2,298,993","548,576","3,329,718","5,345,814","227,137,053",36.61%,33.87%
Alabama,AL,"1,191,274","1,180,413","3,740,624",2.60%,"31,691","53,640","8,097","69,826",,"3,573,542",33.34%,31.85%
Alaska,AK,"285,431","282,382","550,095",3.90%,"5,216","7,077","2,210","11,389",,"517,252",55.18%,51.89%
Arizona,AZ,"1,537,671","1,506,416","5,138,141",9.70%,"37,516","73,232","7,502","86,028",,"4,553,713",33.77%,29.93%
Arkansas,AR,"852,642","848,592","2,264,098",3.80%,"17,756","28,192","21,743","55,287",,"2,122,776",40.17%,37.66%
California,CA,"7,513,972","7,317,581","29,575,685",16.70%,"136,088",0,87104,"223,192",,"24,413,353",30.78%,25.41%
Colorado,CO,"2,080,071","2,041,020","4,132,930",7.00%,"19,121",0,10067,"29,188",,"3,814,437",54.53%,50.33%
Connecticut,CT,"1,096,556","1,089,880","2,822,985",8.20%,"16,113",0,2564,"18,677",,"2,572,824",42.62%,38.84%
Delaware,DE,"238,110","234,038","731,850",5.60%,"6,625","15,665",676,"16,073",,"674,793",35.29%,32.54%
District of Columbia,DC,"177,176","175,071","549,851",9.20%,0,0,0,0,,"499,265",35.49%,32.22%
Florida,FL,"6,026,802","5,951,561","15,897,657",10.50%,"95,671","227,087","4,519","227,359",,"14,001,044",43.05%,37.91%
Georgia,GA,"2,596,947","2,567,761","7,613,021",7.10%,"50,499","471,067","25,547","339,844",,"6,732,653",38.57%,34.11%
Hawaii,HI,"369,554","366,125","1,109,048",8.90%,"5,721",0,0,"5,721",,"1,004,622",36.79%,33.32%
Idaho,ID,"445,307","439,830","1,205,909",4.60%,"7,901","33,450","4,217","30,850",,"1,119,588",39.77%,36.93%
Illinois,IL,"3,680,417","3,627,690","9,893,765",8.70%,"46,465",0,0,"46,465",,"8,986,543",40.95%,37.20%
Indiana,IN,"1,387,622","1,341,814","5,017,809",3.70%,"28,638",0,0,"28,638",,"4,803,512",28.89%,27.65%
Iowa,IA,"1,142,284","1,129,700","2,384,136",3.50%,"8,686","29,929","5,769","31,215",,"2,269,477",50.33%,47.91%
Kansas,KS,"887,023","869,502","2,181,529",5.30%,"9,326","16,328","4,051","22,521",,"2,043,387",43.41%,40.66%
Kentucky,KY,"1,459,409","1,435,868","3,404,267",2.50%,"21,402","54,107","16,729","68,431",,"3,250,729",44.89%,42.87%
Louisiana,LA,"1,503,975","1,472,039","3,536,724",2.80%,"37,881","40,979","29,619","90,448",,"3,347,248",44.93%,42.52%
Maine,ME,"616,996","611,255","1,071,220",1.70%,0,0,0,0,,"1,053,009",58.59%,57.60%
Maryland,MD,"1,745,104","1,733,177","4,620,229",8.70%,20388,79539,11537,"76,467",,"4,141,802",42.13%,37.77%
Massachusetts,MA,"2,186,789","2,158,326","5,382,729",8.70%,"10,014",0,0,"10,014",,"4,904,417",44.59%,40.63%
Michigan,MI,"3,188,956","3,156,531","7,707,406",3.60%,"42,900",0,0,"42,900",,"7,387,039",43.17%,41.38%
Minnesota,MN,"1,992,613","1,981,511","4,177,839",4.50%,"10,003","97,661","6,642","71,335",,"3,918,501",50.85%,47.69%
Mississippi,MS,"631,858","631,858","2,260,078",1.70%,"18,756","34,398","9,883","47,902",,"2,173,754",29.07%,27.96%
Missouri,MO,"1,509,025","1,426,303","4,669,356",2.50%,"31,432","47,303","18,495","76,417",,"4,476,205",33.71%,32.32%
Montana,MT,"373,831","369,826","798,918",1.10%,"3,681",0,0,"3,681",,"786,449",47.53%,46.79%
Nebraska,NE,"552,115","539,891","1,414,871",5.10%,"5,221","12,940",1067,"13,534",,"1,329,179",41.54%,39.02%
Nevada,NV,"552,546","547,349","2,171,523",12.50%,"12,537",12027,5927,"25,199",,"1,874,884",29.47%,25.45%
New Hampshire,NH,"495,565","488,159","1,067,564",3.10%,"2,867",0,0,"2,867",,"1,031,603",48.04%,46.42%
New Jersey,NJ,"1,955,042","1,869,535","6,872,067",11.90%,"20,255",115898,14889,"100,047",,"5,954,244",32.83%,28.45%
New Mexico,NM,"519,436","512,805","1,587,274",7.40%,"6,879","16,060","2,255","18,128",,"1,451,687",35.78%,32.73%
New York,NY,"3,930,310","3,819,010","15,453,917",12.10%,"48,376",0,44889,"93,265",,"13,490,728",29.13%,25.43%
North Carolina,NC,"2,939,767","2,915,281","7,681,181",5.90%,"35,726",90918,10025,"96,665",,"7,131,326",41.22%,38.27%
North Dakota,ND,"255,128","248,670","572,498",2.20%,"1,700",0,0,"1,700",,"558,203",45.71%,44.56%
Ohio,OH,"3,149,876","3,055,913","8,968,923",2.40%,"51,024",0,0,"51,024",,"8,702,645",36.19%,35.12%
Oklahoma,OK,"825,607","824,831","2,931,636",4.60%,"27,650","28,568","2,560","46,208",,"2,750,573",30.02%,28.16%
Oregon,OR,"1,541,782","1,469,717","3,119,674",6.70%,"15,075",0,0,"15,075",,"2,895,581",53.25%,49.42%
Pennsylvania,PA,"3,535,576","3,495,866","10,088,426",3.50%,"49,643",0,0,"49,643",,"9,685,688",36.50%,35.05%
Rhode Island,RI,"329,212","324,055","844,183",7.30%,"3,294",0,0,"3,294",,"779,264",42.25%,39.00%
South Carolina,SC,"1,261,611","1,246,301","3,760,446",3.40%,"20,917","35,096","5,225","45,796",,"3,586,795",35.17%,33.55%
South Dakota,SD,"282,291","279,412","640,486",2.20%,"3,528",0,"2,611","6,139",,"620,256",45.51%,44.07%
Tennessee,TN,"1,430,117","1,374,065","5,061,487",3.50%,"28,495","62,950","13,498","77,245",,"4,807,090",29.75%,28.25%
Texas,TX,"4,727,208","4,727,208","19,958,796",13.30%,"157,361","388,101","111,412","486,110",,"16,818,166",28.11%,23.68%
Utah,UT,"577,973","565,970","2,045,779",6.80%,"6,824",0,0,"6,824",,"1,899,842",30.42%,28.25%
Vermont,VT,"202,445","193,087","504,200",2.20%,0,0,0,0,,"493,107",41.05%,40.15%
Virginia,VA,"2,194,346","2,184,473","6,462,450",6.90%,"36,943","54,966","1,732","69,456",,"5,947,085",36.90%,33.96%
Washington,WA,"2,124,330","2,029,189","5,485,062",8.40%,"17,345","94,112","9,880","79,928",,"4,944,389",42.96%,38.73%
West Virginia,WV,"462,864","451,498","1,467,174",0.90%,"6,873","7,174","2,749","13,639",,"1,440,331",32.14%,31.55%
Wisconsin,WI,"2,422,248","2,410,314","4,454,913",3.10%,"22,097","46,212","20,010","67,986",,"4,248,825",57.01%,54.37%
Wyoming,WY,"171,153","168,390","444,797",2.70%,"2,330","5,196",715,"5,955",,"426,832",40.10%,38.48%
