STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,SOURCE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
United States,,"118,581,921","117,069,210",,"253,979,028",7.50%,"1,356,822","1,188,516","438,200","2,983,538","4,971,025","236,918,088",50.05%,46.69%
Alabama,AL,"1,721,906","1,719,589",https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2018/2018-Official-General-Election-Results-Certified-2018-11-27.pdf,"3,802,178",2.30%,"25,907","29,068","10,266","65,241",,"3,649,487",47.18%,45.29%
Alaska,AK,"285,009","283,134",http://www.elections.alaska.gov/results/18GENR/,"552,149",3.51%,"4,295","1,182","1,348","6,825",,"525,944",54.19%,51.62%
Arizona,AZ,"2,409,910","2,384,308",https://azsos.gov/sites/default/files/2018%201203%20Signed%20Official%20Statewide%20Canvass.pdf,"5,559,776",7.87%,"38,571","43,801","7,536","89,908",,"5,032,314",47.89%,43.35%
Arkansas,AR,"898,793","891,509",https://results.enr.clarityelections.com/AR/92174/Web02-state.220747/#/,"2,310,569",3.64%,"17,518","20,930","24,698","63,146",,"2,163,318",41.55%,38.90%
California,CA,"12,712,542","12,464,235",https://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-6-2018/statement-vote/,"30,532,421",14.57%,"104,730",0,0,"104,730",,"25,979,117",48.93%,41.64%
Colorado,CO,"2,583,580","2,525,062",https://results.enr.clarityelections.com/CO/91808/Web02-state.220747/#/,"4,451,426",5.83%,"18,914",0,10759,"29,673",,"4,162,235",62.07%,58.04%
Connecticut,CT,"1,421,953","1,406,803",https://ctemspublic.pcctg.net/#/home,"2,836,517",7.59%,"13,314",0,4452,"17,766",,"2,603,459",54.62%,50.13%
Delaware,DE,"365,467","362,592",https://elections.delaware.gov/results/html/election.shtml,"764,575",5.13%,"5,885","8,080",350,"14,315",,"711,038",51.40%,47.80%
District of Columbia,DC,"231,482","224,658",https://electionresults.dcboe.org/election_results/2018-General-Election,"575,793",7.65%,0,0,0,0,,"531,745",43.53%,40.20%
Florida,FL,"8,318,824","8,220,561",https://floridaelectionwatch.gov/Home,"17,097,477",9.36%,"91,765","116,869","4,345","212,979",,"15,284,174",54.43%,48.66%
