STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,SOURCE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
United States,,"112,030,874",,"260,725,069",7.50%,"1,175,823","1,074,600","412,595","2,663,018","4,400,000","242,907,672",46.12%,42.97%
Alabama,AL,"1,424,087",https://www.eac.gov/sites/default/files/2023-06/2022_EAVS_Report_508c.pdf,"3,956,111",2.54%,"25,403","27,469","7,815","60,687",,"3,794,939",37.53%,36.00%
Alaska,AK,"267,047",https://www.elections.alaska.gov/election-results/,"556,592",3.56%,"4,778","1,872",865,"7,515",,"529,263",50.46%,47.98%
Arizona,AZ,"2,592,313",https://azsos.gov/elections,"5,796,801",7.78%,"31,441","47,515","7,022","85,978",,"5,259,832",49.29%,44.72%
Arkansas,AR,"914,227",https://results.enr.clarityelections.com/AR/115767/web.307039/#/summary,"2,347,291",3.76%,"17,331","28,009","23,829","69,169",,"2,189,865",41.75%,38.95%
California,CA,"11,146,610",https://electionresults.sos.ca.gov/,"30,478,289",14.58%,"97,608",0,0,"97,608",,"25,936,947",42.98%,36.57%
Colorado,CO,"2,540,666",https://results.enr.clarityelections.com/CO/115903/web.307039/#/summary,"4,630,343",5.61%,"16,366",0,0,"16,366",,"4,354,215",58.35%,54.87%
Connecticut,CT,"1,297,811",https://ctemspublic.pcctg.net/#/home,"2,884,795",7.85%,"10,204",0,0,"10,204",,"2,648,135",49.01%,44.99%
Delaware,DE,"325,632",https://elections.delaware.gov/results/html/index.shtml?electionId=GE2022,"812,117",4.99%,"4,733","7,027",344,"12,104",,"759,489",42.88%,40.10%
District of Columbia,DC,"205,774",https://electionresults.dcboe.org/election_results/2022-General-Election,"547,645",8.24%,0,0,0,0,,"502,519",40.95%,37.57%
Florida,FL,"7,796,916",https://floridaelectionwatch.gov/Home,"18,012,539",10.07%,"82,313","119,938","3,970","206,221",,"15,992,455",48.75%,43.29%
Georgia,GA,"3,964,926",https://results.enr.clarityelections.com/GA/115465/web.307039/#/summary,"8,412,085",6.21%,"48,349","233,623","17,062","299,034",,"7,590,660",52.23%,47.13%
Hawaii,HI,"423,443",https://www.eac.gov/sites/default/files/2023-06/2022_EAVS_Report_508c.pdf,"1,142,024",7.53%,"3,993",9802,0,"13,795",,"1,042,235",40.63%,37.08%
