STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
United States,,132609063,131304731,230872030,8.40%,"1,605,448","2,451,085","627,680","3,144,831","4,972,217","213,306,165",62.17%,57.44%
Alabama,AL,2105622,2099819,3595708,2.20%,"30,508","53,252","8,042","61,155",,"3,455,447",60.94%,58.56%
Alaska,AK,327341,326197,507645,3.70%,"5,014","6,708","1,732","9,234",,"479,628",68.25%,64.48%
Arizona,AZ,2320851,2293475,4673718,11.60%,"39,589","82,232","7,534","84,472",,"4,047,095",57.35%,49.66%
Arkansas,AR,1095958,1086617,2174846,2.90%,"14,716","31,169","19,908","40,255",,"2,071,520",52.91%,50.39%
California,CA,13743177,13561900,27411094,17.90%,"173,670",0,"120,753","234,047",,"22,270,461",61.71%,50.14%
Colorado,CO,2422236,2401361,3708955,8.00%,"23,274",0,"11,654","29,101",,"3,383,138",71.60%,65.31%
Connecticut,CT,,1646792,2725917,8.50%,"20,661",0,"2,328","21,825",,"2,472,389",,
Delaware,DE,413562,412398,680493,5.30%,"7,075","17,216",551,"15,959",,"628,468",65.80%,60.77%
District of Columbia,DC,266871,265853,481971,10.30%,0,0,0,0,,"432,328",61.73%,55.37%
Florida,FL,8453743,8390744,14558436,11.20%,"102,388","279,760","4,528","244,532",,"12,683,359",66.65%,58.07%
Georgia,GA,3940705,3924440,7063638,7.30%,"52,719","397,081","23,448","262,984",,"6,285,008",62.70%,55.79%
Hawaii,HI,456064,453568,1036088,9.70%,"5,955",0,0,"5,955",,"929,632",49.06%,44.02%
Idaho,ID,667506,655032,1117842,4.90%,"7,290","49,513","3,361","33,727",,"1,029,341",64.85%,59.71%
Illinois,IL,5578195,5523051,9615700,9.20%,"45,474",0,0,"45,474",,"8,685,582",64.22%,58.01%
Indiana,IN,2805986,2751054,4826231,3.00%,"28,322",0,0,"28,322",,"4,653,122",60.30%,58.14%
Iowa,IA,1543662,1537123,2298515,2.60%,"8,766","22,958","3,159","21,825",,"2,216,929",69.63%,67.16%
Kansas,KS,1264208,1235872,2100084,4.20%,"8,539","16,263","4,958","19,150",,"1,992,730",63.44%,60.20%
Kentucky,KY,1858578,1826508,3277617,2.20%,"21,706","51,035","12,277","53,362",,"3,152,147",58.96%,56.71%
Louisiana,LA,1979852,1960761,3342279,2.00%,"38,381","40,025","24,636","70,712",,"3,204,721",61.78%,59.24%
Maine,ME,744456,731163,1049816,1.30%,0,0,0,0,,"1,036,168",71.85%,70.91%
Maryland,MD,2661905,2631596,4342850,7.80%,"23,324","96,360","13,220","78,114",,"3,925,994",67.80%,61.29%
Massachusetts,MA,3102995,3080985,5058035,8.60%,"11,408",0,0,"11,408",,"4,611,636",67.29%,61.35%
Michigan,MI,5039080,5001766,7528460,3.30%,"48,738",0,0,"48,738",,"7,231,283",69.68%,66.93%
Minnesota,MN,2921147,2910369,3975974,4.00%,"9,910","127,627","5,081","76,264",,"3,740,671",78.09%,73.47%
Mississippi,MS,,1289856,2190402,1.90%,"22,754","22,267","2,922","35,349",,"2,113,435",,
Missouri,MO,2950504,2925205,4507688,2.50%,"30,186","57,360","20,683","69,208",,"4,325,788",68.21%,65.45%
Montana,MT,497599,491960,755384,1.30%,"3,545",0,0,"3,545",,"742,019",67.06%,65.87%
Nebraska,NE,811923,801281,1348048,4.30%,"4,520","19,606",846,"14,746",,"1,275,336",63.66%,60.23%
Nevada,NV,970019,967848,2000277,14.10%,"12,743","13,337","3,908","21,366",,"1,696,872",57.17%,48.49%
New Hampshire,NH,719643,710970,1021787,2.60%,"2,702",0,0,"2,702",,"992,519",72.51%,70.43%
New Jersey,NJ,3910220,3868237,6651284,11.70%,"25,953","128,737","15,849","98,246",,"5,774,838",67.71%,58.79%
New Mexico,NM,833365,830158,1505830,8.30%,"6,402","20,883","3,724","18,706",,"1,362,140",61.18%,55.34%
New York,NY,7721718,7640640,14876971,12.40%,"60,347",0,"52,225","86,460",,"12,945,767",59.65%,51.90%
North Carolina,NC,4354571,4310789,7096503,5.90%,"39,482","109,678","3,409","96,026",,"6,581,783",66.16%,61.36%
North Dakota,ND,321133,316621,512768,1.30%,"1,452",0,0,"1,452",,"504,650",63.63%,62.63%
Ohio,OH,5773777,5698260,8757453,2.20%,"51,686",0,0,"51,686",,"8,513,103",67.82%,65.93%
Oklahoma,OK,1474694,1462661,2770219,4.00%,"25,864","27,940","3,073","41,371",,"2,618,039",56.33%,53.23%
Oregon,OR,1845251,1827864,2916246,6.90%,"14,167",0,0,"14,167",,"2,700,858",68.32%,63.27%
Pennsylvania,PA,6071357,6012692,9813664,3.10%,"49,215",0,0,"49,215",,"9,460,225",64.18%,61.87%
