STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
United States,US,156766239,,"264,798,961",8.20%,"1,149,655","1,072,610","387,300","2,609,565","3,325,217","243,803,423",64.30%,59.20%
Alabama,AL,2270000,https://www2.alabamavotes.gov/electionNight/statewideResultsByContest.aspx?ecode=1001225,"4,020,661",3.08%,"19,073","3,420","6,870","29,363",,"3,867,406",58.70%,56.46%
Alaska,AK,340981,https://www.elections.alaska.gov/enr/,"560,512",3.41%,"1,357","2,310",1170,"4,837",,"536,581",63.55%,60.83%
Arizona,AZ,3428011,https://azsos.gov/elections/election-information/2024-election-info,"5,951,329",8.18%,"31,033","60,350","6,790","98,173",,"5,366,526",63.88%,57.60%
Arkansas,AR,1190172,https://results.enr.clarityelections.com/AR/122502/web.345435/#/summary,"2,391,789",4.39%,"18,001","44,540","22,580","85,121",,"2,201,764",54.06%,49.76%
California,CA,16140044,https://www.sos.ca.gov/elections/upcoming-elections/general-election-nov-5-2024,"30,601,993",14.98%,"95,827",0,0,"95,827",,"25,922,868",62.26%,52.74%
Colorado,CO,3241120,https://www.sos.state.co.us/pubs/elections/main.html,"4,728,091",6.26%,"16,412",0,0,"16,412",,"4,415,631",73.40%,68.55%
Connecticut,CT,1788981,https://ctemspublic.tgstg.net/#/home,"2,912,979",8.12%,"6,308",0,0,"6,308",,"2,670,153",67.00%,61.41%
Delaware,DE,518330,https://elections.delaware.gov/results/html/index.shtml?electionId=GE2024,"835,621",6.35%,"2,800","3,250",310,"6,360",,"776,224",66.78%,62.03%
District of Columbia,DC,328871,https://electionresults.dcboe.org/election_results/2024-General-Election,"561,851",9.87%,0,0,0,0,,"506,415",64.94%,58.53%
Florida,FL,11004209,https://floridaelectionwatch.gov/CountyReportingStatus,"18,664,571",11.36%,"81,978","130,420","3,810","216,208",,"16,327,632",67.40%,58.96%
Georgia,GA,5297264,https://results.sos.ga.gov/results/public/Georgia/elections/2024NovGen,"8,647,469",7.14%,"47,294","174,620","14,340","236,254",,"7,793,977",67.97%,61.26%
Hawaii,HI,522236,https://elections.hawaii.gov/election-results/,"1,140,526",8.37%,"2,103",4020,0,"6,123",,"1,038,968",50.26%,45.79%
Idaho,ID,917469,https://results.voteidaho.gov/turnout.html,"1,532,761",4.27%,"9,505","21,410","6,770","37,685",,"1,429,619",64.18%,59.86%
