State,2024,2022,2020,2018,2016,2014,2012,2010,2008,2006,2004,2002
Alabama,58.80%,37.30%,61.80%,47.00%,59.10%,33.20%,N/A,43.30%,61.00%,N/A,57.40%,NA
Alaska,63.70%,50.20%,68.40%,54.80%,61.50%,54.80%,58.90%,52.90%,68.30%,51.20%,69.60%,54.50%
Arizona,63.60%,49.30%,68.60%,47.40%,56.10%,34.10%,53.00%,41.60%,57.40%,39.60%,54.80%,36.70%
Arkansas,53.50%,41.50%,56.50%,41.30%,53.20%,40.30%,51.10%,37.90%,52.90%,38.90%,54.40%,41.70%
California,62.10%,42.90%,68.60%,49.30%,58.20%,30.70%,55.70%,45.90%,61.70%,41.20%,59.60%,37.30%
Colorado,73.10%,58.30%,77.60%,61.40%,71.90%,54.70%,70.60%,51.70%,71.60%,48.10%,67.30%,46.60%
Connecticut,67.10%,48.60%,70.70%,54.80%,64.90%,42.50%,61.40%,45.90%,N/A,47.70%,66.20%,45.10%
Delaware,67.00%,42.80%,70.10%,51.20%,64.40%,34.90%,N/A,49.00%,65.80%,42.90%,64.50%,NA
District of Columbia,63.60%,40.60%,65.80%,43.70%,60.70%,35.70%,61.60%,29.60%,61.70%,28.70%,54.90%,NA
Florida,66.70%,48.10%,72.30%,54.30%,65.60%,43.30%,63.30%,42.20%,66.60%,40.10%,64.70%,45.90%
Georgia,68.30%,51.90%,68.20%,54.10%,59.80%,38.60%,59.30%,40.60%,62.70%,35.10%,56.40%,NA
Hawaii,50.30%,40.50%,55.70%,39.50%,43.20%,36.50%,44.50%,40.30%,49.00%,38.40%,48.50%,44.20%
Idaho,63.40%,42.60%,67.60%,48.60%,60.90%,39.80%,61.00%,42.90%,64.80%,46.20%,64.80%,45.20%
Illinois,62.60%,45.80%,66.10%,51.50%,63.10%,40.80%,59.30%,43.10%,64.30%,41.40%,62.40%,42.80%
Indiana,58.60%,37.20%,61.50%,46.50%,57.90%,28.70%,56.00%,38.10%,60.30%,37.70%,55.80%,NA
Iowa,70.80%,51.90%,72.90%,57.90%,69.10%,50.30%,70.60%,50.70%,69.70%,49.20%,70.60%,48.70%
Kansas,63.20%,47.60%,65.70%,51.10%,59.70%,43.30%,58.20%,42.60%,63.50%,44.30%,62.90%,44.90%
Kentucky,62.10%,44.80%,64.80%,48.70%,59.60%,44.90%,56.20%,44.30%,59.00%,44.20%,59.40%,NA
Louisiana,60.80%,42.00%,64.20%,45.10%,60.60%,44.90%,60.80%,40.00%,61.80%,31.40%,61.50%,40.10%
Maine,74.20%,60.80%,75.80%,59.90%,72.90%,58.70%,69.30%,55.90%,71.80%,N/A,74.90%,NA
Maryland,69.30%,45.80%,69.90%,54.20%,67.00%,42.00%,67.30%,46.70%,67.80%,47.20%,63.10%,46.80%
Massachusetts,68.00%,48.80%,71.00%,54.60%,68.30%,44.70%,66.20%,49.40%,67.30%,49.30%,64.60%,49.80%
Michigan,74.60%,58.90%,73.50%,57.70%,65.70%,43.20%,65.40%,45.10%,69.70%,52.80%,67.10%,45.00%
Minnesota,76.40%,60.40%,79.80%,64.20%,74.70%,50.60%,76.40%,55.80%,78.10%,60.50%,78.80%,NA
Mississippi,57.50%,32.50%,60.40%,43.80%,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA
Missouri,64.30%,49.60%,66.00%,53.30%,64.20%,33.60%,N/A,45.70%,68.20%,51.20%,66.10%,NA
Montana,68.20%,53.20%,72.80%,61.30%,64.30%,47.50%,63.50%,48.40%,67.10%,57.10%,65.20%,49.70%
Nebraska,68.00%,48.40%,69.50%,51.50%,64.00%,41.40%,61.10%,38.70%,63.70%,48.80%,64.10%,NA
Nevada,65.80%,45.80%,66.10%,46.50%,57.40%,29.60%,56.50%,41.40%,57.20%,37.10%,55.40%,36.80%
New Hampshire,74.10%,56.30%,74.90%,54.00%,72.50%,48.30%,70.90%,46.10%,72.50%,42.90%,71.50%,48.70%
New Jersey,67.00%,41.00%,72.00%,53.50%,65.80%,32.50%,62.20%,37.70%,67.70%,40.60%,64.20%,38.90%
New Mexico,59.60%,46.30%,61.00%,46.80%,54.90%,N/A,54.80%,44.70%,61.20%,43.10%,60.40%,40.00%
New York,57.90%,42.50%,61.10%,45.70%,57.20%,29.00%,53.50%,36.30%,59.60%,36.50%,58.50%,37.00%
North Carolina,70.30%,47.50%,72.80%,49.00%,64.90%,41.20%,65.40%,39.80%,66.10%,32.50%,58.70%,NA
North Dakota,63.10%,41.70%,63.40%,58.70%,61.70%,45.00%,60.40%,46.60%,63.60%,45.40%,65.50%,49.80%
Ohio,65.40%,47.10%,67.00%,50.90%,64.20%,36.20%,65.10%,46.20%,67.80%,49.50%,67.90%,40.30%
Oklahoma,53.30%,39.60%,55.30%,42.10%,N/A,30.00%,N/A,39.10%,56.30%,N/A,NA,NA
Oregon,70.70%,62.30%,76.20%,61.20%,68.00%,53.40%,64.20%,53.90%,68.30%,53.20%,72.60%,51.80%
Pennsylvania,71.40%,54.40%,70.10%,51.70%,N/A,36.50%,N/A,42.40%,64.20%,N/A,NA,NA
Rhode Island,63.50%,43.60%,63.10%,47.50%,59.70%,42.40%,N/A,45.40%,62.30%,52.10%,58.90%,45.40%
South Carolina,62.10%,42.80%,65.90%,44.50%,57.30%,35.20%,56.80%,40.30%,58.20%,35.40%,53.20%,NA
South Dakota,64.00%,53.10%,66.40%,53.10%,60.00%,44.70%,60.10%,53.90%,65.60%,58.80%,69.40%,61.20%
Tennessee,57.60%,33.30%,59.70%,44.70%,51.80%,29.80%,52.30%,35.10%,57.40%,42.10%,56.80%,NA
Texas,56.60%,41.80%,60.80%,45.60%,51.40%,N/A,N/A,32.70%,N/A,N/A,NA,34.50%
Utah,64.20%,46.80%,69.20%,50.60%,57.90%,30.30%,56.10%,36.80%,57.10%,35.00%,59.80%,37.80%
Vermont,70.90%,56.00%,72.20%,55.70%,64.80%,40.80%,61.20%,49.80%,67.70%,55.00%,66.70%,49.40%
Virginia,71.00%,47.60%,72.80%,54.40%,N/A,36.80%,66.60%,39.10%,67.60%,44.50%,61.10%,32.30%
Washington,70.20%,55.30%,76.20%,58.30%,65.70%,43.10%,65.80%,54.30%,67.30%,47.30%,67.50%,43.50%
West Virginia,55.50%,35.40%,57.20%,42.50%,N/A,32.00%,N/A,37.20%,51.20%,33.80%,55.10%,31.50%
Wisconsin,76.90%,59.80%,75.30%,61.40%,N/A,56.90%,65.80%,52.40%,72.70%,53.70%,75.30%,NA
Wyoming,61.30%,45.60%,64.30%,47.90%,60.20%,39.70%,59.00%,46.00%,63.10%,51.80%,66.30%,50.80%
United States,63.90%,46.20%,66.60%,50.00%,60.10%,36.70%,58.60%,41.80%,62.20%,41.30%,60.70%,40.50%
