Category: All categories

Region,polling place: (8/8/12 - 11/6/12)
Minnesota,100
Delaware,91
California,83
Arizona,72
Illinois,60
Maryland,56
Nebraska,56
Pennsylvania,52
Rhode Island,51
Indiana,50
District of Columbia,46
Missouri,46
Wisconsin,43
Iowa,42
Idaho,41
New York,40
Colorado,39
Oklahoma,34
Alabama,31
Massachusetts,30
Hawaii,30
Vermont,29
Virginia,28
South Dakota,28
Georgia,26
Nevada,26
Connecticut,26
Ohio,26
Michigan,25
Montana,25
Texas,25
West Virginia,25
Alaska,25
North Dakota,25
North Carolina,25
New Hampshire,23
Kansas,22
Kentucky,22
New Mexico,21
Louisiana,21
Florida,21
New Jersey,20
Utah,19
South Carolina,19
Arkansas,16
Mississippi,15
Tennessee,13
Washington,8
Oregon,7
