Category: All categories

Region,sample ballot: (8/8/12 - 11/6/12)
South Dakota,100
Alabama,68
Louisiana,57
Arkansas,49
Oklahoma,48
Florida,36
Minnesota,35
New Mexico,35
Nebraska,34
Missouri,32
Wyoming,29
North Dakota,29
Mississippi,29
New Hampshire,28
North Carolina,27
Iowa,26
Virginia,26
Michigan,25
South Carolina,23
Georgia,21
Rhode Island,21
Idaho,21
Tennessee,20
Kentucky,18
Utah,18
Wisconsin,18
Maryland,17
Ohio,17
Delaware,17
Kansas,17
Montana,16
West Virginia,15
Illinois,15
Maine,14
Indiana,13
Texas,13
District of Columbia,12
Nevada,12
Vermont,11
Hawaii,11
Alaska,10
Colorado,10
Arizona,8
Pennsylvania,8
Connecticut,8
Massachusetts,7
New Jersey,7
New York,6
California,6
Washington,1
Oregon,1
