Category: All categories

Region,absentee ballot: (8/8/12 - 11/6/12)
North Dakota,100
Virginia,99
Vermont,90
Iowa,89
South Carolina,85
District of Columbia,79
Alabama,78
Michigan,77
Rhode Island,76
Pennsylvania,76
Maryland,76
Hawaii,73
Idaho,72
Delaware,71
Massachusetts,64
Florida,64
Montana,62
Connecticut,62
New York,57
Indiana,57
Maine,56
New Hampshire,54
Georgia,52
Minnesota,52
New Mexico,52
South Dakota,51
Missouri,50
Nebraska,50
New Jersey,49
West Virginia,48
Ohio,48
Oklahoma,46
North Carolina,44
Wisconsin,43
Alaska,43
Kansas,43
Utah,40
Wyoming,40
Kentucky,39
Tennessee,39
Mississippi,38
Illinois,36
Arkansas,35
Nevada,32
California,27
Louisiana,26
Colorado,25
Arizona,22
Texas,18
Washington,17
Oregon,16
