Category: All categories

Region,voter id: (8/8/12 - 11/6/12)
Minnesota,100
Pennsylvania,65
Delaware,35
New Hampshire,34
District of Columbia,34
Virginia,24
South Carolina,23
Rhode Island,22
North Dakota,22
Idaho,21
Mississippi,21
Wisconsin,21
Maryland,20
Kansas,20
Tennessee,19
Oklahoma,19
New Jersey,18
Iowa,17
Vermont,17
New Mexico,16
Indiana,16
Connecticut,16
North Carolina,16
Ohio,16
Massachusetts,15
Alabama,15
Michigan,15
New York,14
Missouri,14
Alaska,14
Texas,13
Kentucky,13
Colorado,13
Arizona,13
Florida,13
Illinois,13
Georgia,13
Arkansas,12
Louisiana,12
Utah,12
Maine,11
Washington,11
Montana,11
Nevada,11
California,10
Nebraska,10
Oregon,10
West Virginia,10
Hawaii,9
