Category: All categories

Region,mitt romney: (8/8/12 - 11/6/12)
Utah,100
Iowa,81
Ohio,80
Virginia,78
Massachusetts,74
Nevada,69
New Hampshire,68
New Jersey,67
Florida,67
Pennsylvania,67
Michigan,66
Colorado,65
Vermont,65
Kentucky,65
North Carolina,65
District of Columbia,64
Connecticut,64
Maryland,63
Delaware,63
Tennessee,62
Wisconsin,62
Rhode Island,61
West Virginia,59
Alabama,59
Oklahoma,59
Illinois,58
Idaho,57
Oregon,57
Maine,56
South Carolina,56
Wyoming,56
New York,56
Arizona,55
Kansas,55
Missouri,55
Indiana,54
Louisiana,54
Washington,53
California,53
Georgia,52
Arkansas,52
New Mexico,51
Montana,50
Mississippi,50
Nebraska,49
Minnesota,49
Texas,49
South Dakota,49
North Dakota,49
Alaska,45
Hawaii,40
