Category: All categories

Region,where to vote: (8/10/16 - 11/8/16)
North Dakota,100
Minnesota,80
Idaho,77
Texas,74
Rhode Island,67
Iowa,64
Utah,62
North Carolina,62
South Dakota,62
Arkansas,60
Michigan,58
Georgia,58
Kentucky,57
Indiana,57
Louisiana,56
Wyoming,56
Alabama,53
Oklahoma,53
Wisconsin,53
South Carolina,52
New York,51
Montana,51
Ohio,51
Illinois,50
Connecticut,49
Maine,49
New Hampshire,49
District of Columbia,49
New Mexico,48
Arizona,48
Kansas,47
Nevada,46
Nebraska,45
New Jersey,45
Alaska,45
Tennessee,44
Florida,43
Massachusetts,43
Pennsylvania,43
Mississippi,42
Missouri,41
Delaware,40
Virginia,39
California,38
Colorado,35
Maryland,34
Vermont,32
West Virginia,30
Hawaii,28
Washington,25
Oregon,16
