Category: All categories

Region,election day: (8/10/16 - 11/8/16)
District of Columbia,100
New York,89
Delaware,85
Pennsylvania,81
New Jersey,80
West Virginia,80
Kentucky,80
Indiana,79
Virginia,78
Maryland,77
Connecticut,75
Michigan,72
Vermont,71
Rhode Island,70
Minnesota,68
Illinois,68
South Carolina,66
Wyoming,66
Tennessee,66
North Carolina,65
Massachusetts,65
Ohio,65
Montana,65
Missouri,64
Iowa,62
Nebraska,61
Idaho,61
New Mexico,61
Colorado,60
Maine,60
Georgia,60
Hawaii,58
Washington,58
North Dakota,58
Florida,57
New Hampshire,57
Arizona,57
Louisiana,57
Texas,56
South Dakota,56
Wisconsin,54
Nevada,54
Utah,53
Oklahoma,53
Arkansas,53
Mississippi,53
Kansas,52
Alaska,52
California,51
Alabama,50
Oregon,48
