Category: All categories

Region,vote by mail: (8/10/16 - 11/8/16)
Florida,100
Wyoming,89
South Dakota,74
New Hampshire,70
Wisconsin,65
New Jersey,60
Maine,54
Mississippi,42
California,36
Utah,31
Oklahoma,29
Idaho,29
Montana,22
Arkansas,22
Tennessee,22
North Carolina,20
Texas,20
Washington,19
Oregon,19
Ohio,19
Michigan,17
Illinois,14
District of Columbia,11
Arizona,10
Rhode Island,9
Nebraska,8
Hawaii,8
Colorado,8
Nevada,7
Massachusetts,7
New Mexico,6
Kansas,6
New York,6
Iowa,6
Minnesota,6
Georgia,5
Maryland,5
Louisiana,5
South Carolina,4
West Virginia,4
Connecticut,4
Indiana,4
Pennsylvania,4
Virginia,4
Alabama,4
Missouri,3
Kentucky,3
