Category: All categories

Region,hillary clinton: (8/10/16 - 11/8/16)
Pennsylvania,100
District of Columbia,98
New Jersey,95
New York,92
New Hampshire,91
Connecticut,88
Maine,88
Massachusetts,87
Ohio,85
Virginia,84
Michigan,84
Missouri,82
Rhode Island,82
Indiana,82
Oklahoma,82
North Carolina,82
West Virginia,81
Florida,81
Arkansas,80
Maryland,79
Iowa,79
Arizona,79
Kentucky,79
Nevada,79
Washington,79
Minnesota,79
Tennessee,78
Wisconsin,78
Illinois,77
Colorado,76
Delaware,75
Nebraska,75
California,75
Georgia,75
South Carolina,72
Vermont,72
Alabama,71
Texas,71
Mississippi,70
Louisiana,69
Kansas,68
New Mexico,68
North Dakota,66
Idaho,66
Wyoming,65
Oregon,64
Montana,64
South Dakota,62
Utah,61
Alaska,60
Hawaii,52
