Category: All categories

Region,how to vote: (8/5/20 - 11/3/20)
South Dakota,100
New York,99
Texas,96
North Carolina,94
Connecticut,94
Iowa,93
Alabama,92
Pennsylvania,91
South Carolina,89
Utah,89
Michigan,89
Wisconsin,89
Florida,89
New Jersey,89
Virginia,89
Kansas,88
Illinois,88
Missouri,88
Delaware,88
Arizona,87
Louisiana,86
Georgia,86
Ohio,86
Indiana,86
Idaho,86
Arkansas,86
Mississippi,84
North Dakota,84
Wyoming,84
Minnesota,84
Tennessee,83
Oklahoma,82
Montana,82
Maryland,81
Maine,80
Massachusetts,79
District of Columbia,78
New Hampshire,78
Rhode Island,78
Nevada,77
Washington,77
West Virginia,76
Nebraska,76
Alaska,75
Oregon,74
California,74
Kentucky,74
Hawaii,73
Colorado,72
New Mexico,72
Vermont,67
