Category: All categories

Region,electoral college: (8/5/20 - 11/3/20)
District of Columbia,100
Colorado,77
Washington,73
Vermont,72
Maine,71
Maryland,70
Delaware,69
Massachusetts,69
Arizona,67
Nebraska,66
Pennsylvania,66
Kansas,65
Ohio,65
North Dakota,65
Virginia,64
Montana,63
Minnesota,63
California,63
Hawaii,63
New Hampshire,62
Oregon,62
Rhode Island,61
Illinois,60
Wyoming,60
Connecticut,60
Idaho,60
Florida,60
West Virginia,59
New Mexico,59
New Jersey,59
South Dakota,59
Arkansas,58
North Carolina,57
Michigan,57
New York,56
Iowa,56
Nevada,55
Utah,55
Texas,55
Georgia,54
Wisconsin,54
Missouri,54
Indiana,53
Oklahoma,52
Alaska,51
Tennessee,51
South Carolina,50
Kentucky,47
Louisiana,46
Alabama,45
Mississippi,42
