Category: All categories

Region,united states presidential election: (8/5/20 - 11/3/20)
District of Columbia,100
Massachusetts,88
Washington,86
Alaska,81
Wyoming,80
Connecticut,77
Minnesota,77
Florida,77
Oregon,76
Maryland,75
California,75
Pennsylvania,74
Texas,73
New Hampshire,73
New Jersey,72
Arizona,72
Virginia,72
South Dakota,72
Delaware,71
North Dakota,71
Ohio,71
Wisconsin,71
Georgia,70
Illinois,70
Rhode Island,70
Tennessee,70
Maine,69
Vermont,69
Indiana,69
Hawaii,69
New York,68
Colorado,68
Missouri,67
Alabama,67
West Virginia,66
Idaho,65
Kentucky,65
Kansas,64
Montana,64
North Carolina,64
Michigan,64
Arkansas,64
Iowa,64
New Mexico,62
Utah,62
Nebraska,62
Oklahoma,61
Louisiana,58
Nevada,58
Mississippi,54
South Carolina,50
