Category: All categories

Region,2020 election: (8/5/20 - 11/3/20)
Wyoming,100
Kansas,96
Missouri,92
Alaska,90
Minnesota,88
Washington,87
District of Columbia,86
Arizona,86
Michigan,85
Massachusetts,82
Vermont,82
Tennessee,81
North Dakota,80
Oregon,79
Georgia,78
New Hampshire,76
Utah,76
Indiana,75
Montana,75
Illinois,75
Florida,74
Maryland,74
Delaware,74
Iowa,74
New Jersey,74
Virginia,74
West Virginia,73
Colorado,72
Connecticut,72
Alabama,72
Ohio,71
Nebraska,71
North Carolina,69
Hawaii,69
Arkansas,68
South Dakota,68
Wisconsin,67
Idaho,67
Kentucky,66
Pennsylvania,66
New York,66
Oklahoma,66
Texas,66
Nevada,65
California,65
Louisiana,65
Rhode Island,63
Maine,63
New Mexico,60
South Carolina,60
Mississippi,44
