Category: All categories

Region,joe biden: (8/5/20 - 11/3/20)
Delaware,100
Pennsylvania,92
District of Columbia,87
Wisconsin,82
Arizona,78
Michigan,78
Minnesota,77
Connecticut,77
New Hampshire,75
Massachusetts,75
New Jersey,74
Ohio,71
Rhode Island,70
Nebraska,69
North Carolina,69
Maine,69
Iowa,68
Virginia,68
West Virginia,68
Florida,68
Washington,68
Maryland,67
Indiana,67
Illinois,67
South Carolina,67
Missouri,66
Oregon,66
Tennessee,66
Idaho,65
New York,64
Kansas,64
Nevada,64
Kentucky,63
Louisiana,61
Alabama,61
Vermont,61
Oklahoma,60
Georgia,60
Arkansas,60
Colorado,60
Utah,60
North Dakota,59
Wyoming,59
California,58
South Dakota,58
Texas,57
Alaska,53
Montana,53
New Mexico,53
Mississippi,52
Hawaii,46
