Category: All categories

Region,register to vote: (8/7/24 - 11/5/24)
Wisconsin,100
Idaho,89
Iowa,88
Georgia,85
Utah,85
New Hampshire,85
Wyoming,84
Montana,83
North Carolina,83
Indiana,82
Alabama,81
Texas,79
Minnesota,79
South Dakota,78
Arkansas,78
Kansas,78
Arizona,78
Pennsylvania,77
Louisiana,76
Illinois,76
Kentucky,75
Ohio,74
Virginia,74
Maine,72
Oklahoma,72
District of Columbia,72
New York,72
Missouri,72
Nebraska,71
Delaware,71
New Mexico,70
Connecticut,70
South Carolina,70
Tennessee,69
Nevada,69
New Jersey,67
Michigan,66
Florida,65
Rhode Island,64
Mississippi,64
Massachusetts,64
Maryland,62
Hawaii,61
Vermont,59
Colorado,58
Alaska,56
West Virginia,55
North Dakota,55
Washington,53
California,52
Oregon,50
