Category: All categories

Region,presidential debate: (8/7/24 - 11/5/24)
District of Columbia,100
Vermont,86
Minnesota,83
Pennsylvania,80
Maine,79
Oregon,79
Montana,79
Washington,76
Colorado,73
Wyoming,72
Alaska,71
Massachusetts,71
Wisconsin,70
Michigan,67
New Hampshire,67
Missouri,67
Idaho,66
Rhode Island,66
Utah,65
Maryland,65
Ohio,64
Arizona,63
North Carolina,63
Delaware,62
Tennessee,61
Hawaii,61
North Dakota,61
Nebraska,61
Connecticut,60
New Jersey,60
South Dakota,60
California,60
Kansas,59
Virginia,59
West Virginia,58
New York,58
Illinois,58
Iowa,58
Indiana,57
Georgia,55
Florida,54
Alabama,52
Texas,52
Arkansas,51
New Mexico,51
Kentucky,51
Oklahoma,50
Nevada,49
South Carolina,49
Mississippi,47
Louisiana,43
