Category: All categories

Region,early voting: (8/7/24 - 11/5/24)
North Carolina,100
Tennessee,84
Georgia,82
South Carolina,79
Delaware,72
Indiana,71
Texas,71
Florida,65
West Virginia,62
Arkansas,59
Connecticut,58
Missouri,57
Maryland,57
Louisiana,54
Virginia,53
New Mexico,52
Wisconsin,52
Minnesota,51
District of Columbia,50
Kentucky,48
Kansas,47
Illinois,47
Oklahoma,47
New York,46
Michigan,45
New Jersey,45
North Dakota,41
Alaska,41
Ohio,40
Nevada,39
Iowa,38
Rhode Island,34
Massachusetts,32
Idaho,32
Arizona,27
South Dakota,24
Nebraska,24
Pennsylvania,23
Maine,21
Alabama,21
Wyoming,20
New Hampshire,18
Mississippi,17
Vermont,14
Colorado,14
Montana,14
Utah,11
Washington,10
California,9
Hawaii,8
Oregon,8
