Category: All categories

Region,kamala harris: (8/7/24 - 11/5/24)
District of Columbia,100
Wisconsin,76
Pennsylvania,69
Delaware,65
Michigan,64
North Carolina,61
Georgia,59
Arizona,59
Nevada,58
Maryland,58
Massachusetts,57
New Hampshire,57
New Jersey,56
Maine,56
New Mexico,55
Virginia,54
Illinois,53
Rhode Island,53
Connecticut,53
Minnesota,52
Vermont,52
South Carolina,52
Washington,52
Alabama,51
Kentucky,50
West Virginia,50
Missouri,50
Tennessee,49
Florida,49
Indiana,49
New York,49
Oregon,49
Ohio,48
Colorado,48
California,48
Oklahoma,46
Nebraska,46
Mississippi,45
Idaho,45
Louisiana,45
Arkansas,45
Utah,44
Iowa,43
Wyoming,42
Montana,41
Kansas,41
Texas,41
Alaska,40
Hawaii,40
South Dakota,37
North Dakota,35
