order,year,category,term_id,term,form,window_start,window_end,url,save_as,downloaded,max_value,notes
1,2012,C1_logistics,polling_place,polling place,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=polling%20place,2012_C1_logistics_polling_place.csv,,,
2,2012,C1_logistics,where_to_vote,where to vote,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=where%20to%20vote,2012_C1_logistics_where_to_vote.csv,,,
3,2012,C1_logistics,register_to_vote,register to vote,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=register%20to%20vote,2012_C1_logistics_register_to_vote.csv,,,
4,2012,C1_logistics,sample_ballot,sample ballot,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=sample%20ballot,2012_C1_logistics_sample_ballot.csv,,,
5,2012,C1_logistics,how_to_vote,how to vote,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=how%20to%20vote,2012_C1_logistics_how_to_vote.csv,,,
6,2012,C2_salience,us_pres_election,united states presidential election,TOPIC,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=united%20states%20presidential%20election,2012_C2_salience_us_pres_election.csv,,,
7,2012,C2_salience,year_election,2012 election,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=2012%20election,2012_C2_salience_year_election.csv,,,
8,2012,C2_salience,election_day,election day,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=election%20day,2012_C2_salience_election_day.csv,,,
9,2012,C2_salience,presidential_debate,presidential debate,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=presidential%20debate,2012_C2_salience_presidential_debate.csv,,,
10,2012,C2_salience,electoral_college,electoral college,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=electoral%20college,2012_C2_salience_electoral_college.csv,,,
11,2012,C3_process,absentee_ballot,absentee ballot,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=absentee%20ballot,2012_C3_process_absentee_ballot.csv,,,
12,2012,C3_process,early_voting,early voting,TOPIC,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=early%20voting,2012_C3_process_early_voting.csv,,,
13,2012,C3_process,vote_by_mail,vote by mail,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=vote%20by%20mail,2012_C3_process_vote_by_mail.csv,,,
14,2012,C3_process,voter_id,voter id,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=voter%20id,2012_C3_process_voter_id.csv,,,
15,2012,C3_process,ballot_drop_box,ballot drop box,term,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=ballot%20drop%20box,2012_C3_process_ballot_drop_box.csv,,,
16,2012,C4_candidates,nominee_dem,barack obama,TOPIC,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=barack%20obama,2012_C4_candidates_nominee_dem.csv,,,
17,2012,C4_candidates,nominee_rep,mitt romney,TOPIC,2012-08-08,2012-11-06,https://trends.google.com/trends/explore?date=2012-08-08%202012-11-06&geo=US&hl=en-US&q=mitt%20romney,2012_C4_candidates_nominee_rep.csv,,,
18,2016,C1_logistics,polling_place,polling place,term,2016-08-10,2016-11-08,https://trends.google.com/trends/explore?date=2016-08-10%202016-11-08&geo=US&hl=en-US&q=polling%20place,2016_C1_logistics_polling_place.csv,,,
19,2016,C1_logistics,where_to_vote,where to vote,term,2016-08-10,2016-11-08,https://trends.google.com/trends/explore?date=2016-08-10%202016-11-08&geo=US&hl=en-US&q=where%20to%20vote,2016_C1_logistics_where_to_vote.csv,,,
20,2016,C1_logistics,register_to_vote,register to vote,term,2016-08-10,2016-11-08,https://trends.google.com/trends/explore?date=2016-08-10%202016-11-08&geo=US&hl=en-US&q=register%20to%20vote,2016_C1_logistics_register_to_vote.csv,,,
21,2016,C1_logistics,sample_ballot,sample ballot,term,2016-08-10,2016-11-08,https://trends.google.com/trends/explore?date=2016-08-10%202016-11-08&geo=US&hl=en-US&q=sample%20ballot,2016_C1_logistics_sample_ballot.csv,,,
